Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,FatigueLevel,Performance.Task
-0.0004011713,0.0013540475,0.0078795276,-0.0953597806,0.1447008557,-0.0038460497,-0.0061563387,-0.0192825154,2,1
-0.0063656682,0.1147551418,0.0965447961,-0.0997915187,0.0752941683,-0.0040741557,0.0705591845,-0.0109951174,2,1
-0.0008400757,0.0466075316,0.0502246811,-0.1042313689,0.0570842382,-0.0049175112,-0.0347208483,-0.0043353927,2,1
0.0918401192,0.1294838033,0.1119661456,-0.0617843661,-0.0212861914,-0.0075225978,-0.0103258124,-0.0003421877,3,1
0.0023655554,0.0515190478,0.0524393526,-0.0848526922,0.0004951039,0.0050666304,-0.0077734787,0.0242664471,2,1
0.010021276,0.0611481598,0.0591045082,-0.0808373032,0.0208808077,0.0379867662,-0.0437899439,0.1420819318,2,1
-0.0001283523,0.1033540335,0.0904454531,-0.1051586747,0.0253317668,0.0297465458,-0.0406016271,0.1688309548,2,1
0.0043466364,0.1263304503,0.130183089,-0.0620360476,0.0262314857,0.0904396404,-0.035142727,0.3758271127,3,1
0.0023712008,0.1064172797,0.1017849808,-0.0531201823,0.0214294504,0.0172572351,-0.0441187679,0.1338437776,4,1
-0.0229554091,0.0322560876,0.0307656963,-0.0045379284,-0.0644266383,0.0217333977,-0.0085918777,0.0817546988,2,1
-0.0005409181,0.0407355132,0.0546042904,0.0013026554,0.0746299499,0.002516347,0.0046959183,0.0401844314,2,1
-0.0022978465,0.0771269025,0.0657661427,0.0635274392,-0.0408767729,0.0299703285,0.0013573987,0.1540220724,2,1
0.0018763874,0.0223393314,0.0254624854,-0.0316470724,-0.0589877884,-0.0143035108,-0.0355701377,-0.026084055,3,1
0.0050518821,-0.0135923577,-0.0025501908,-0.0083492008,0.0460149358,0.0032339519,0.0145231886,0.0068059536,4,1
0.0040432646,0.0041947649,0.0139022883,0.0459878224,-0.0102171189,-0.0078030294,-0.0121359072,-0.0278141814,3,1
-0.0022226709,-0.0023730756,-0.0005424976,0.0343072083,0.0334276482,-0.0060527091,-0.0060540575,-0.0055232292,3,1
0.001154584,0.0121322232,0.0203418984,0.0860025218,-0.0555969903,-0.002504615,0.0028567918,-0.0200764167,3,1
0.0109586245,0.0497916575,0.0453082819,0.1291402431,-0.0265628522,0.0078598197,-0.0142054111,0.0735384426,3,1
1,-0.0079163737,0.0047680193,0.0972604412,0.0593118628,-0.0011155396,-0.030144079,-0.0077990627,5,1
0.0034815239,0.035797252,0.0425530754,-0.0171877478,-0.020587324,-0.0009406731,-0.0143617829,-0.0080673887,3,1
0.0013730217,-0.0038934235,0.006683793,0.1540696883,-0.0416326418,-0.0023126373,0.0024286821,-0.0427951214,2,1
0.005174261,0.0379676904,0.0518708536,0.0356143721,-0.0067678437,-0.0013512509,0.0344806008,0.0055613839,5,1
-0.0229554091,-0.0492868939,-0.0291333239,0.0546295581,-0.0198980512,-0.0113162219,-0.0240007249,-0.0326477221,3,1
0.0003490348,0.0405393418,0.0538507795,0.0620530238,0.0406903045,-0.0081832262,-0.0109178944,-0.0080053231,4,1
0.0048380552,0.0275875236,0.0159499072,0.0075945346,-0.0010691322,-0.003763701,-0.0228486406,0.043814676,4,1
-0.0008182271,-0.0426124992,-0.0673351377,0.0928741938,0.0574457774,0.0009508662,0.0275717776,-0.0096668114,2,1
0.0020098916,-0.0407690906,-0.0351260916,0.0461589895,-0.0124520781,0.0071600505,-0.0165494785,0.0518104571,2,1
-0.0022510808,-0.0142767241,-0.0111652396,0.0796664628,0.0363692806,-0.0006749279,-0.014283433,-0.0144570056,3,1
0.0030592604,-0.0576496749,-0.0492787593,0.1516002682,-0.0141644133,-0.0082576566,0.0322804685,-0.0099800217,3,1
-0.0056265533,-0.0988005654,-0.0812701627,0.1625803316,0.0193553671,-0.0072368757,0.0135304724,-0.0416211601,3,1
0.000105078,-0.0314855304,-0.0244201736,0.0782857156,-0.0511710402,-0.0095343337,-0.0084298005,-0.0342003847,4,1
0.0008953693,0.169507393,0.1376992927,0.0478723234,0.0327783127,0.0139739759,-0.0128815631,0.0717030482,3,1
0.0140761358,-0.0820406366,-0.0707715686,0.0860062858,0.017711086,0.0216798872,-0.015642166,-0.021700577,5,1
0.0011211346,0.0408185717,0.0517297269,0.0682960079,-0.0245718355,0.0046720879,0.0045036621,0.0694912655,1,1
0.0033485214,-0.0334047502,-0.0251522208,0.1670390185,-0.0395385931,0.0145803839,0.0461261393,0.0121196527,1,1
0.0036551061,-0.0182542976,-0.0025218117,0.1643255971,-0.0335083849,-0.0096655252,0.0499665878,-0.0461592765,1,1
0.0161893093,0.0700135073,0.0922700845,0.0488649967,-0.0241798068,0.0047417756,0.0110720605,0.0436466877,3,1
0.0058573625,-0.0223070553,-0.0054750825,0.0673729338,0.0295599326,-0.0022434953,0.0264431754,-0.0250712458,3,1
0.0016122254,0.0122779642,0.0221427141,0.0694628003,0.0170989054,0.0243681348,-0.0053047922,0.0891403333,3,1
-0.0013782198,-0.0049598201,0.0083000817,0.2358729432,-0.0162563844,0.0225012966,0.0289355578,0.0751913223,3,1
0.0041662119,-0.0409299325,-0.0253550592,0.0637879763,0.0096942834,-0.0176057631,0.070970929,-0.0735154368,3,1
0.0006433431,-0.0474435691,-0.0379881123,0.0991201459,-0.014260695,-0.0086668864,0.0018936035,-0.0226928816,3,1
0.0780035451,-0.0474180415,-0.039707411,0.096645131,-0.0049362287,-0.009824278,0.0866297888,-0.0380185582,2,1
0.0001672739,0.0285603776,-0.0238456121,-0.0147529258,0.0038425315,0.0035805513,0.0067971151,0.0352291669,1,1
0.0006518777,0.0942157122,-0.015065113,-0.0062658352,-0.0201015473,-0.0001544106,0.0027033144,0.0327206307,1,1
0.0005646131,0.0389581107,0.0113785303,0.0315499558,0.2435162193,0.0126178256,0.0236338057,0.0760797369,2,1
0.0014424984,0.1741477088,-0.0754385784,0.0390340326,-0.0065162628,0.0270728298,0.0123493127,0.119589338,2,1
0.010421105,0.0721274374,0.0011971447,0.3452589099,0.0101772866,0.0066794282,-0.0346952014,0.0867367495,2,1
0.0040790096,0.0740789883,0.0244956458,0.1575961667,0.3005517012,0.0156894483,0.0095063909,0.1019967161,2,1
0.0012295845,0.1087110609,0.0618995034,0.0759261746,-0.0360833434,-0.00357352,0.0026209767,0.0219147497,2,1
-0.0006008809,0.4278807146,0.1450037786,0.0015438433,-0.0644266383,0.0376019479,0.0112078935,0.1346261326,2,1
-0.000965498,0.1094600053,0.0574858311,0.0344627914,0.067227065,-0.0082314535,-0.0011333719,-0.0366617648,2,1
0.0269192758,0.2754298555,0.0788601254,0.4407465056,-0.0644266383,0.0303922869,-0.0128591576,0.0934788558,2,1
0.0024331041,-0.0115333881,-0.0530243844,0.0223935986,0.1399346375,-0.0092641425,-0.0344692346,-0.0343670361,2,1
0.0130355385,-0.0565789058,-0.0471204524,0.140183924,0.0296086936,0.0048138327,-0.0321436204,-0.005631056,2,1
-0.0030048245,-0.0094449386,-0.0101373441,0.0129568489,-0.0576947944,0.0148654503,-0.0237195445,0.0853453851,2,1
0.0024616286,0.0114684204,0.0087071863,0.0579471663,4.74995938640728E-005,0.0111469685,-0.0265376482,0.0593613517,2,1
0.0039900379,0.1026945473,0.0499389216,0.0011013582,0.0577863959,0.0104047546,-0.019399515,0.0466142273,2,1
0.0010822157,0.0385131816,-0.0323712336,0.0808666204,0.0008465116,-0.0054186601,-0.0020717026,-0.0136815056,2,1
0.0060395849,-0.0533953744,-0.0424580385,0.0343091114,-0.0032950825,0.0075292859,0.0045716917,0.048407256,4,1
0.0016633805,-0.032998242,-0.0317880855,0.0465989485,0.008659437,0.0172732016,-0.0268229977,0.1195044902,4,1
0.0012434822,0.0361805148,0.0439505022,0.1137352488,-0.0289754102,-0.0002120083,-0.0048103133,0.0063944712,2,1
-0.0229554091,0.0566365472,0.0770199496,0.0752295562,-0.0211735422,-0.0137704555,0.2240671977,-0.0472436673,2,1
-0.001563304,0.0858030721,0.0795768915,0.012166799,0.1033325428,0.0018191984,0.0049435715,-0.0232484532,2,1
0.00282006,-0.0290764433,-0.0230313716,0.0031123867,-0.0214370268,0.0185401097,-0.008325382,0.0662986338,4,1
0.0627075659,-0.0383956735,-0.0281872819,0.1357437947,0.0446402607,0.0020642929,0.0103967655,-0.027830386,5,1
0.001426134,-0.027437916,-0.0315178972,0.1210845886,-0.0329035389,0.0250802498,0.0046316842,0.047860243,5,1
0.0025238288,-0.0211678096,-0.0165943383,0.1320327903,-0.0407621466,0.0260220233,0.0271088095,0.0747367234,5,1
-0.0013286572,-0.0928030249,-0.0784630937,0.0123818948,-0.0218375947,-0.0123370958,-0.0136921957,-0.0546062801,2,1
-0.0023985877,-0.0362092315,-0.0206995927,0.0107214989,-0.012726533,-0.0143481153,-0.0318979486,-0.0179838288,2,1
0.0012440849,-0.072565165,-0.0627312244,0.221223575,0.0417976226,0.0124034471,-0.0061560856,0.0328792785,4,1
-0.0037500952,-0.0602658306,-0.0461830762,0.4821369512,-0.0459440165,-0.0114335016,0.0735346599,-0.0485573946,3,1
0.0004991021,-0.0711478493,-0.0583579239,0.1554719666,0.0072491422,-0.0072870715,0.0612048004,-0.0524278488,3,1
-0.0010655616,-0.0038448385,0.0003804509,0.1656407058,0.0150243122,-0.0035233074,0.0313062985,-0.0190332499,3,1
-0.0014181927,-0.0706164634,-0.0635085935,0.2602884321,-0.0168586015,-0.0048805808,0.023898478,-0.0441348707,3,1
-0.0004283211,-0.0764454896,-0.0599220627,0.1691354183,0.0452488277,-0.0124724009,0.0079574513,-0.0523889238,3,1
0.0038708689,-0.1067235534,-0.0999564728,0.1825145099,-0.0303534897,-0.0129392907,0.0075266688,-0.049028719,3,1
0.0035540704,0.1244468065,0.1136319403,0.0478007137,-0.0164877513,0.015593045,0.0003232315,0.1478848995,1,1
0.0002414334,-0.0053245709,0.0129743435,0.0276306696,-0.0041336853,0.0002917256,-0.0238969782,0.0227367948,1,1
0.0009832277,0.0898512757,0.0114163825,0.1316925359,-0.0373386522,-0.0023834132,-0.0100404234,-0.00678396,2,1
0.0001700826,0.0140607048,-0.1063097767,0.037016496,-0.0351515304,0.027994424,0.0064220936,0.1130712926,2,1
-0.001136995,-0.0704999475,-0.0754397264,-0.031134299,-0.0644266383,0.0035622172,-0.0363294489,0.0229861684,2,1
0.0023848655,-0.0722940233,-0.0553265147,0.0886403598,0.0403891555,0.0048946697,-0.0156139926,0.0097893585,2,1
0.000373914,-0.0376508597,-0.0179547708,0.111365547,0.031536461,0.0047459654,-0.0195995398,0.0104534272,2,1
0.0050139678,-0.056600078,-0.048888721,0.1921125916,0.0541287323,0.0087497458,0.0167257312,-0.0149120487,3,1
0.0024178214,-0.0001502729,0.0116466943,0.0792983758,0.0282909591,0.0079839183,0.0262647521,0.0073865739,4,1
0.0018420577,0.0495347887,0.0398754801,0.068797494,-0.0638301446,0.0309904403,-0.0239652273,0.086281323,4,1
0.0012479881,0.0132177866,0.0103677375,0.1650676121,-0.0077291515,0.0459327921,0.0028850872,0.1940214931,4,1
0.002169775,0.2021759513,0.1772179961,-0.022021583,-0.0211206428,0.0204177347,0.0601965124,0.058339433,4,1
-0.00500317,0.0404076738,0.0144217192,-0.0605704226,-0.0644266383,0.0054858789,-0.0139599351,0.0351657202,4,1
-5.05977136039917E-005,-0.0695724086,-0.0808222326,0.3933102256,0.1407701052,0.0319737703,0.1624219518,0.0981050298,4,1
-0.006544978,0.0004701128,9.17032620123283E-005,-0.0229117855,-0.0640048536,0.0401372137,-0.0521851399,0.2027095729,4,1
0.009512469,0.0015221007,-0.0041646563,-0.0151538773,0.0273369837,-0.0048429069,-0.0174189765,0.0051195093,2,1
0.0003423554,-0.0083203017,0.0038643507,0.4287454094,0.3826290668,-0.0018959201,0.0203006056,-0.0152800024,2,1
-0.0018233726,0.05680323,0.0295911915,0.025258218,0.0512888219,-0.0016527326,0.0060824679,0.0179271448,2,1
0.0044720711,-0.1184564396,-0.1093806448,0.1234825802,0.1605262021,-0.0137808335,-0.0163636696,-0.0408480216,2,1
-0.0006929822,-0.0057308381,-0.051871989,0.0105154594,-0.0098220524,-0.0030186277,0.0690866965,-0.0239063186,3,1
0.0024557006,-0.0186203425,-0.0615009865,0.013236973,0.0214522414,0.0117134313,-0.0182300377,0.0397375108,2,1
0.0017151832,0.0264661843,0.0269814249,0.1464108768,0.0059963359,-0.0102648973,0.0225910199,-0.0416773115,3,1
0.1128810022,0.0086444591,0.0037594042,0.0338988079,-0.0152562348,0.0644492574,-0.0084007965,0.2033607175,3,1
0.0016665949,-0.0303940534,-0.052064793,0.0384115401,0.0923749452,0.003029714,-0.0040840359,0.008214312,3,1
0.0026254248,-0.0080230886,-0.0654959871,0.0050806822,-0.0409502036,-0.0118444727,-0.0148232981,-0.0301876638,3,1
0.0015044186,-0.0193871122,-0.0339589202,-0.016346837,0.1053927072,-0.0041468822,0.0018117884,-0.0016875019,4,1
0.0014789506,0.0236678455,-0.0083556373,0.0667735623,0.0535778234,0.0012554054,-0.0332469237,0.0292633307,4,1
0.0003860245,0.0712769783,-0.0305269427,0.0195957896,0.0394563841,-0.0079845752,-0.008174305,0.0140264185,3,1
0.0030889676,-0.0942957493,-0.0818796283,0.0159584735,0.1541005403,0.0123517346,-0.029529684,0.0093083111,4,1
0.0003868555,-0.0593595808,-0.0509833218,0.0645293625,-0.0131443811,0.0047588602,-0.0127427418,0.01664606,4,1
0.0019889124,-0.0250569458,-0.0226880695,0.0623919825,-0.0407746848,-0.0030676566,-0.008842591,-0.0071819606,4,1
0.0074306056,-0.0719397506,-0.0609974278,0.119813805,0.0118573549,-0.0039595085,0.0126612257,-0.0258335884,4,1
0.0040378853,-0.0865403129,-0.0755225006,-0.001143483,-0.03286813,-0.0166203618,0.025478697,-0.0631868781,4,1
0.0023395655,-0.0356455888,-0.0297456905,0.0438914915,-0.0463081135,0.0012765283,0.0233365814,-0.009178478,4,1
0.0026679985,0.006192401,0.0128370063,0.0681700268,-0.0439786369,0.0073334836,-0.042122366,0.1153385934,3,1
0.0017714609,-0.0224140878,-0.0111160057,0.013555822,-0.0644266383,-0.0102371496,-0.0085126471,-0.0189989466,3,1
-0.0002721578,0.0363104948,0.0407429889,0.1211925292,-0.0026564763,-0.0130207836,0.0587985681,-0.06454067,3,1
0.0015920078,0.018772292,0.0247571866,0.1118037346,-0.0279005592,0.0026649957,0.0132206656,0.060503466,3,1
0.0002193714,0.0031563043,0.0215723118,0.1264640301,-0.0111823432,0.0249049379,0.0177673011,0.0661663027,3,1
-2.51356422162054E-005,-0.0419268458,-0.0384900854,0.1574265054,-0.0264632754,-0.0084052714,0.040794521,-0.0119527954,3,1
-2.83942187687582E-005,0.0039940078,0.0017918296,0.0553784233,-0.0388419654,-0.0075011038,-0.0036006675,0.0018569883,3,1
0.0031712427,0.0445887365,0.0155289614,-0.0385936652,0.015573683,0.0013057021,-0.0100127204,0.0002747378,2,3
0.0751086339,-0.0052419257,-0.064264612,-0.0074292221,0.0230477058,-0.01561581,0.0051534576,-0.0606416785,3,3
-0.0025160029,0.0933836464,-0.0197476879,0.0560150546,0.2723581091,-0.0115273102,-0.0169944074,-0.0484343228,3,3
0.00628289,0.0601457171,-0.0611557444,-0.012745826,0.0147355779,-0.0118309893,-0.0452129017,-0.047540571,3,3
-0.0021635103,-0.0463083612,-0.0869204729,-0.0098134336,-0.0295944923,-0.0153317621,-0.0154041364,-0.0569051835,2,2
-0.0007087577,-0.0075569602,0.0008927749,-0.0136414005,0.0294372183,-0.00539574,-0.0110324427,-0.0076836301,1,2
0.0030981899,-0.0186824986,-0.0220435164,-0.0553351108,0.1542289822,-0.0008315679,-0.0032626432,0.0132845066,1,2
-0.0229554091,-0.226286736,-0.1790473214,-0.1257148305,-0.0644266383,-0.0206736797,0.0158949079,-0.0880088559,1,2
-0.0003847608,0.1409828047,0.1346150466,-0.0121981292,0.1842906382,0.0226050512,-0.0079983473,0.142191651,2,2
-0.0004257201,0.0398261157,0.0174859198,0.015886848,-0.0238936098,0.0244016253,0.0020953116,0.1355756066,2,2
-0.0038705906,0.046874922,0.0605998614,0.1571807927,0.0201280788,-0.0033250675,0.0161567977,0.0234091738,2,2
0.0014410314,0.0735173731,0.0373791897,0.0012642736,-0.006658,0.0007737607,0.0098476136,0.0699223514,2,2
0.0216379618,0.0293074894,-0.0553196599,-0.0452521503,0.0203794576,-0.0133569931,0.0085097568,-0.0435107164,2,2
-0.0001120802,0.0221660001,-0.0650579946,0.1336420981,0,0.0378877696,0.0189989585,0.0819752292,2,2
0.0099299319,-0.03601129,-0.0550193496,-0.0187602843,0.0324792089,0.0167283603,-0.0300194989,0.1769046495,2,2
0.0097449115,-0.0263226229,-0.0004535961,-0.0105014076,0.304774169,0.0014720933,-0.0122541411,0.0148720583,3,1
0.0105938857,0.108148776,0.0042605245,-0.008484181,0.2093717207,0.0106812727,0.0253016074,0.1964792405,4,1
0.0387325917,-0.0149118533,-0.001370857,-0.0016565343,-0.0359936931,-0.0091048355,0.0188537467,-0.1540146655,4,1
0.0028521845,-0.083238809,-0.0029300738,-0.0079197657,-0.014219276,0.0036005666,0.0082319476,0.0213138939,2,1
0.0014111262,-0.0743414413,-0.0019172638,-0.0106039977,0.001192933,-0.0131630531,0.0414812386,-0.2068342528,2,1
